company_name,facility_name,region,year,month,electricity_kwh,water_m3,electricity_cost_usd,water_cost_usd,co2_avoided_ton,lighting_pct,hvac_pct,machinery_pct,offices_pct,others_pct,gas_natural_m3,gas_natural_cost_usd,diesel_l,diesel_cost_usd,gasolina_l,gasolina_cost_usd,glp_propano_kg,glp_propano_cost_usd,vapor_termica_gj,vapor_termica_cost_usd,energia_renovable_kwh,energia_renovable_cost_usd,residuos_kg,residuos_cost_usd,emisiones_co2e_t,emisiones_co2e_cost_usd,quimicos_consumibles_l,quimicos_consumibles_cost_usd
Green Glow Industries,Planta Norte,Santiago,2025,7,2950,1320,6800,1760,0.70,27,37,21,10,5,221.25,121.69,26.55,31.86,10.33,13.94,118.88,112.93,8.26,99.12,665.22,53.22,51.40,10.28,0.9704,17.47,61.76,154.40
Green Glow Industries,Planta Sur,Valparaiso,2025,7,2710,1180,6250,1580,0.64,28,36,22,9,5,203.25,111.79,24.39,29.27,9.48,12.80,106.59,101.27,7.59,91.06,611.11,48.89,46.24,9.25,0.8908,16.03,55.27,138.17
Green Glow Industries,Planta Norte,Santiago,2025,8,2860,1260,6610,1680,0.67,28,36,21,10,5,214.50,117.98,25.74,30.89,10.01,13.51,113.67,107.99,8.01,96.10,660.66,52.85,49.24,9.85,0.9404,16.93,58.99,147.47
Green Glow Industries,Planta Sur,Valparaiso,2025,8,2640,1140,6100,1530,0.61,29,35,22,9,5,198.00,108.90,23.76,28.51,9.24,12.47,103.08,97.93,7.39,88.70,609.84,48.79,44.76,8.95,0.8676,15.62,53.41,133.53
Green Glow Industries,Planta Norte,Santiago,2025,9,2520,1120,5850,1500,0.60,28,35,22,10,5,189.00,103.95,22.68,27.22,8.82,11.91,100.94,95.89,7.06,84.67,595.98,47.68,43.68,8.74,0.8288,14.92,52.42,131.04
Green Glow Industries,Planta Sur,Valparaiso,2025,9,2310,1010,5390,1360,0.55,29,34,23,9,5,173.25,95.29,20.79,24.95,8.09,10.91,91.19,86.64,6.47,77.62,546.31,43.71,39.54,7.91,0.7594,13.67,47.30,118.24
Green Glow Industries,Planta Norte,Santiago,2025,10,2460,1090,5720,1460,0.58,28,35,22,10,5,184.50,101.48,22.14,26.57,8.61,11.62,98.27,93.36,6.89,82.66,595.32,47.63,42.54,8.51,0.8090,14.56,51.02,127.55
Green Glow Industries,Planta Sur,Valparaiso,2025,10,2260,980,5280,1310,0.53,29,34,23,9,5,169.50,93.23,20.34,24.41,7.91,10.68,88.57,84.14,6.33,75.94,546.92,43.75,38.44,7.69,0.7428,13.37,45.91,114.77
Green Glow Industries,Planta Norte,Santiago,2025,11,2380,1030,5560,1380,0.56,28,34,23,10,5,178.50,98.18,21.42,25.70,8.33,11.25,93.11,88.45,6.66,79.97,589.05,47.12,40.42,8.08,0.7822,14.08,48.25,120.64
Green Glow Industries,Planta Sur,Valparaiso,2025,11,2190,930,5100,1250,0.51,29,33,24,9,5,164.25,90.34,19.71,23.65,7.67,10.35,84.26,80.04,6.13,73.58,542.02,43.36,36.66,7.33,0.7194,12.95,43.60,109.01
Green Glow Industries,Planta Norte,Santiago,2025,12,2340,1000,5480,1340,0.55,28,34,23,10,5,175.50,96.53,21.06,25.27,8.19,11.06,90.53,86.00,6.55,78.62,592.02,47.36,39.36,7.87,0.7688,13.84,46.87,117.18
Green Glow Industries,Planta Sur,Valparaiso,2025,12,2150,900,5010,1200,0.49,29,33,24,9,5,161.25,88.69,19.35,23.22,7.53,10.16,81.67,77.59,6.02,72.24,543.95,43.52,35.60,7.12,0.7060,12.71,42.22,105.55
Green Glow Industries,Planta Norte,Santiago,2026,1,2440,1040,5710,1410,0.57,28,35,22,10,5,183.00,100.65,21.96,26.35,8.54,11.53,94.18,89.47,6.83,81.98,469.70,37.58,40.96,8.19,0.8016,14.43,48.75,121.88
Green Glow Industries,Planta Sur,Valparaiso,2026,1,2230,940,5210,1260,0.52,29,34,23,9,5,167.25,91.99,20.07,24.08,7.81,10.54,85.23,80.97,6.24,74.93,429.28,34.34,37.12,7.42,0.7324,13.18,44.08,110.21
Green Glow Industries,Planta Norte,Santiago,2026,2,2510,1070,5860,1450,0.59,28,35,22,10,5,188.25,103.54,22.59,27.11,8.79,11.86,96.90,92.05,7.03,84.34,496.98,39.76,42.14,8.43,0.8246,14.84,50.16,125.40
Green Glow Industries,Planta Sur,Valparaiso,2026,2,2290,970,5350,1300,0.54,29,34,23,9,5,171.75,94.46,20.61,24.73,8.02,10.82,87.91,83.51,6.41,76.94,453.42,36.27,38.26,7.65,0.7522,13.54,45.48,113.70
Green Glow Industries,Planta Norte,Santiago,2026,3,2660,1130,6200,1520,0.63,28,36,21,10,5,199.50,109.73,23.94,28.73,9.31,12.57,102.37,97.25,7.45,89.38,541.31,43.30,44.54,8.91,0.8738,15.73,52.98,132.44
Green Glow Industries,Planta Sur,Valparaiso,2026,3,2440,1020,5650,1360,0.58,29,35,22,9,5,183.00,100.65,21.96,26.35,8.54,11.53,92.58,87.95,6.83,81.98,496.54,39.72,40.36,8.07,0.8012,14.42,47.85,119.63
